Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,$%s,$%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,1,840,16,833
GBP,£%s,£%s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,2,826,16,836
KRW,%s*,%s 战网点数,"用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意本协议中的所有条款并确认购买。（包括
|HurlIndex:9|h|cff71d5ff交易条款|r|h，|HurlIndex:8|h|cff71d5ff退款条例|r|h和|HurlIndex:13|h||cff71d5ff隐私政策|r|h）。",3,410,48,834
EUR,€%s,€%s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,4,978,16,836
RUB,%s p.,%s p.,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,5,643,16,836
COP,$%s,$%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,6,170,4,833
PEN,S/.%s,S/.%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,7,604,4,833
ARS,$%s,$%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,8,32,0,833
CLP,$%s,$%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,9,152,0,833
MXN,$%s,$%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,10,484,0,833
BRL,R$ %s,R$ %s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,11,986,0,833
AUD,$%s,$%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,12,36,0,833
SGD,$%s,$%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,13,702,0,833
