ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,暴怒,裂縫,憩所,2
2,灼熱,沙漠,島嶼,2
3,鋼鐵,墓地,裂谷,2
4,下界,水池,山丘,2
5,黑暗,泥沼,深谷,2
6,石頭,烈焰,峽谷,2
19,快樂,溪流,山谷,1
55,虛偽,測試,陸地,4
61,沉睡,火爐,酒莊,1
62,聖潔,獅子,島嶼,1
63,藍色,浪濤,之島,1
64,沁涼,迷霧,港埠,1
65,沉默,的風,庇護所,1
66,黃金,聖光,聖所,1
67,平靜,海洋,岬地,1
68,廣大,海域,憩所,1
69,疲倦,船帆,村落,1
70,海鹽,豐收,山丘,1
71,第一,旗幟,之地,1
72,翡翠,祝福,領區,1
73,舊,橡木,港口,1
74,新,旅程,哨站,1
75,灰暗,沉鬱,小村莊,1
76,應許,船錨,港埠,1
77,清淨,天空,居地,1
78,蒼白,沙地,之岸,1
81,乾燥,綻放,海灣,2
82,神秘,高山,之島,2
83,灼燒,沙地,庇護所,2
84,明亮,太陽,堡壘,2
86,破裂,岩石,之尖,2
87,紅色,野豬,之脊,2
88,高盛,夏季,花園,2
89,大地,山脊,豐饒之地,2
90,迅捷,旅人,庇佑地,2
91,自由,機運,公社,2
92,脆弱,獠牙,綠洲,2
93,悲痛,放逐者,山崖,2
94,尖銳,礫石,聚落,2
