ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,一份美味的魚就快要送到了！,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"生產一份鍊金催化劑。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",鍊金催化劑,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"依據你捕捉到的生物，生產一份對應的肉類、皮革，或毛皮。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",獸倉貨物,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"利用德拉諾各地採伐到的木料生產一份要塞資源。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",鋸木廠貨物,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"生產一份咒織布。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",咒織布,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"生產一份真鋼錠。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",真鋼錠,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"生產一份光潔皮革。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",光潔皮革,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"生產一份塔岩水晶。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",塔岩水晶,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
